loja_sync,sku,produto,custo,preco,imposto,updated_at
JK Peças,444-K3-1,,44.34,,24.00,27/05/2026 08:39
JK Peças,444-2-K,,25.46,,24.00,27/05/2026 08:39
JK Peças,444-1-K,,25.09,,24.00,27/05/2026 08:39
JK Peças,280-K,,39.70,,24.00,27/05/2026 08:39
JK Peças,444-K3,,35.01,,24.00,27/05/2026 08:39
JK Peças,375-2,,45.13,,24.00,27/05/2026 08:39
JK Peças,375-1,,45.07,,24.00,27/05/2026 08:39
JK Peças,446,,234.07,,20.00,27/05/2026 08:39
JK Peças,236,,43.23,,24.00,27/05/2026 08:39
JK Peças,252-1,,12.96,,24.00,27/05/2026 08:39
JK Peças,250-2,,24.55,,24.00,27/05/2026 08:39
JK Peças,250-1,,24.55,,24.00,27/05/2026 08:39
JK Peças,250-K,,49.11,,24.00,27/05/2026 08:39
JK Peças,321-k,,29.05,,24.00,27/05/2026 08:39
JK Peças,244,,21.36,,24.00,27/05/2026 08:39
JK Peças,443,,211.27,,24.00,27/05/2026 08:39
JK Peças,238-1,,23.99,,24.00,27/05/2026 08:39
JK Peças,238-k,,47.98,,24.00,27/05/2026 08:39
JK Peças,459,,13.60,,24.00,27/05/2026 08:39
JK Peças,461,,11.32,,24.00,27/05/2026 08:39
JK Peças,464,,14.68,,24.00,27/05/2026 08:39
JK Peças,460,,22.75,,24.00,27/05/2026 08:39
JK Peças,458-2,,140.93,,24.00,27/05/2026 08:39
JK Peças,187,,65.44,,24.00,27/05/2026 08:39
JK Peças,355,,65.30,,24.00,27/05/2026 08:39
JK Peças,331,,8.50,,24.00,27/05/2026 08:39
JK Peças,331-K,,16.99,,24.00,27/05/2026 08:39
JK Peças,252-K,,25.92,,24.00,27/05/2026 08:39
JK Peças,456,,121.44,,24.00,27/05/2026 08:39
JK Peças,393-1,,5.39,,24.00,27/05/2026 08:39
JK Peças,394-1,,6.31,,24.00,27/05/2026 08:39
JK Peças,453,,10.41,,24.00,27/05/2026 08:39
JK Peças,367,,82.23,,20.00,27/05/2026 08:39
JK Peças,307,,143.00,,24.00,27/05/2026 08:39
JK Peças,441,,69.18,,20.00,27/05/2026 08:39
JK Peças,438,,15.14,,24.00,27/05/2026 08:39
JK Peças,208,,81.62,,24.00,27/05/2026 08:39
JK Peças,439,,344.19,,24.00,27/05/2026 08:39
JK Peças,429,,22.84,,24.00,27/05/2026 08:39
JK Peças,281,,11.22,,24.00,27/05/2026 08:39
JK Peças,272-K4,,26.90,,24.00,27/05/2026 08:39
JK Peças,272,,6.74,,24.00,27/05/2026 08:39
JK Peças,440,,55.11,,24.00,27/05/2026 08:39
JK Peças,94-1,,92.45,,24.00,27/05/2026 08:39
JK Peças,151-K6,,117.50,,24.00,27/05/2026 08:39
JK Peças,435-1,,52.07,,24.00,27/05/2026 08:39
JK Peças,458-1,,80.19,,24.00,27/05/2026 08:39
JK Peças,449-2,,72.86,,24.00,27/05/2026 08:39
JK Peças,449-1,,72.86,,24.00,27/05/2026 08:39
JK Peças,451,,421.64,,24.00,27/05/2026 08:39
JK Peças,458-K,,220.44,,24.00,27/05/2026 08:39
JK Peças,449-K,,145.72,,24.00,27/05/2026 08:39
JK Peças,448,,71.63,,20.00,27/05/2026 08:39
JK Peças,451-2,,238.19,,20.00,27/05/2026 08:39
JK Peças,451-1,,238.19,,20.00,27/05/2026 08:39
JK Peças,451-K,,476.38,,20.00,27/05/2026 08:39
JK Peças,160-K,,74.36,,24.00,27/05/2026 08:39
JK Peças,160,,37.01,,24.00,27/05/2026 08:39
JK Peças,452,,39.02,,24.00,27/05/2026 08:39
JK Peças,450,,248.00,,20.00,27/05/2026 08:39
JK Peças,457-1,,204.86,,24.00,27/05/2026 08:39
JK Peças,457-2,,224.36,,24.00,27/05/2026 08:39
JK Peças,154,,37.12,,24.00,27/05/2026 08:39
JK Peças,220,,20.64,,24.00,27/05/2026 08:39
JK Peças,445,,21.28,,24.00,27/05/2026 08:39
JK Peças,287,,155.55,,24.00,27/05/2026 08:39
JK Peças,52-1,,130.46,,24.00,27/05/2026 08:39
JK Peças,239-K,,68.32,,24.00,27/05/2026 08:39
JK Peças,238-2,,23.99,,24.00,27/05/2026 08:39
JK Peças,379-3,,16.20,,24.00,27/05/2026 08:39
JK Peças,379-5,,16.20,,24.00,27/05/2026 08:39
JK Peças,379-4,,4.05,,24.00,27/05/2026 08:39
JK Peças,349,,72.35,,24.00,27/05/2026 08:39
JK Peças,232-6,,79.71,,24.00,27/05/2026 08:39
JK Peças,454,,59.81,,24.00,27/05/2026 08:39
JK Peças,275-5,,42.69,,20.00,27/05/2026 08:39
JK Peças,428-2,,11.59,,24.00,27/05/2026 08:39
JK Peças,347,,56.59,,24.00,27/05/2026 08:39
JK Peças,374-K,,99.30,,24.00,27/05/2026 08:39
JK Peças,374-2,,20.52,,24.00,27/05/2026 08:39
JK Peças,374-1,,20.52,,24.00,27/05/2026 08:39
JK Peças,372,,32.03,,24.00,27/05/2026 08:39
JK Peças,371,,24.00,,24.00,27/05/2026 08:39
JK Peças,362,,131.56,,24.00,27/05/2026 08:39
JK Peças,357,,12.66,,24.00,27/05/2026 08:39
JK Peças,23,,99.49,,24.00,27/05/2026 08:39
JK Peças,275-19,,41.92,,20.00,27/05/2026 08:39
JK Peças,218,,33.47,,24.00,27/05/2026 08:39
JK Peças,80,,78.35,,24.00,27/05/2026 08:39
JK Peças,55,,148.85,,24.00,27/05/2026 08:39
JK Peças,150,,10.50,,20.00,27/05/2026 08:39
JK Peças,345,,60.13,,24.00,27/05/2026 08:39
JK Peças,303,,39.39,,24.00,27/05/2026 08:39
JK Peças,377-4K,,73.68,,24.00,27/05/2026 08:39
JK Peças,333-K,,14.86,,24.00,27/05/2026 08:39
JK Peças,333,,7.43,,24.00,27/05/2026 08:39
