arquivo,sku,nome,produto_bling,ncm,categoria_anterior,categoria_nova,regra_pis_cofins
info\000002\cadastro_produtos.csv,D104-38-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 38T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-32,Bicycle Chainring 94/96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 32T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-32-O,Oval Bicycle Chainring 94-96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 32T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-34,Bicycle Chainring 94/96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 34T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-34-O,Oval Bicycle Chainring 94-96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 34T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-36,Bicycle Chainring 94/96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 36T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-36-O,Oval Bicycle Chainring 94-96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 36T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-38,Bicycle Chainring 94/96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 38T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D9496-38-O,Oval Bicycle Chainring 94-96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 94-96mm Tamanho: 38T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-32,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 32T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-32-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 32T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-34,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 34T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-34-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 34T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-36,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 36T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-36-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 36T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-38,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 38T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D96A-38-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 96mm Tamanho: 38T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DGC-03,"MTB Bicycle Chain Guide,",Guia de correntes Deckas MTB de 30 a 40 dentes Tamanho: ISCG03,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DGC-05,"MTB Bicycle Chain Guide,",Guia de correntes Deckas MTB de 30 a 40 dentes Tamanho: ISCG05,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DGC-BB,"MTB Bicycle Chain Guide,",Guia de correntes Deckas MTB de 30 a 40 dentes Tamanho: BB 30t-40t,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSHI-30,"Round 1×12 Speed Bicycle Chainring, 30-38T, 3 mm Offset",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SHI Tamanho:30T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSHI-32,"Round 1×12 Speed Bicycle Chainring, 30-38T, 3 mm Offset",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SHI Tamanho: 32T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSHI-34,"Round 1×12 Speed Bicycle Chainring, 30-38T, 3 mm Offset",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SHI Tamanho: 34T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSHI-36,"Round 1×12 Speed Bicycle Chainring, 30-38T, 3 mm Offset",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SHI Tamanho: 36T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSHI-38,"Round 1×12 Speed Bicycle Chainring, 30-38T, 3 mm Offset",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SHI Tamanho: 38T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSRAM-30,"Round 1×12 Speed Bicycle Chainring, 30-38T, Direct Mount",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SRAM Tamanho:30T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSRAM-32,"Round 1×12 Speed Bicycle Chainring, 30-38T, Direct Mount",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SRAM Tamanho: 32T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSRAM-34,"Round 1×12 Speed Bicycle Chainring, 30-38T, Direct Mount",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SRAM Tamanho: 34T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
