sku,mlb_principal,mlb_ids,qtd_anuncios_mlb
062,MLB1987841102,MLB1987841102|MLB1987841103|MLB1987848106|MLB2982339511|MLB3381044631,5.0
066,MLB1988756796,MLB1988756796|MLB2982488710,2.0
070,MLB1988781236,MLB1988781236|MLB2928706612|MLB2928757624|MLB2928808856|MLB2928814459,5.0
70-K,MLB1988792599,MLB1988792599|MLB2928875422|MLB3551783947,3.0
071,MLB2026788344,MLB2026788344|MLB2026820566|MLB3373224124|MLB3557424429,4.0
078,-,-,1.0
079,-,-,1.0
008,,,
080,MLB1988927706,MLB1988927706,1.0
081,MLB2031655802,MLB2031655802|MLB2087259778|MLB2087277360,3.0
81-K,MLB3124015905,MLB3124015905|MLB3124052019|MLB3680635594|MLB4481241058|MLB4481253760,5.0
082,MLB2068147397,MLB2068147397|MLB4586328416|MLB5415931218|MLB5416026190|MLB5416036662,5.0
82-K,MLB2068200150,MLB2068200150|MLB2985989720|MLB2986034942,3.0
94-1,,,
94-2,,,
099,MLB2041012158,MLB2041012158|MLB2068217472|MLB2068228159|MLB2986429903|MLB3557539233,5.0
99-1,MLB3137138717,MLB3137138717|MLB3137145071|MLB3137151472|MLB3137151482|MLB3852698189|MLB4337875236,6.0
T417,,,
TIK06,MLB6000643338,MLB6000643338,1.0
